관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11470-21245,,지상,서울특별시 양천구 중앙로55길 65,4.0,1.0,0.0,,,,,,,,,,199.86,0.0,126.8419857,37.5254915,13
11110-28536,,지상,서울특별시 종로구 대학로 40-1,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0022901,37.5746853,13
11590-28986,,지상,서울특별시 동작구 상도로53길 13,6.0,1.0,1.0,,,,,,,,,,230.21,29.0,126.953009,37.4983649,13
11110-9093,,지상,서울특별시 종로구 종로 150-1,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9943769,37.5702785,13
11110-21986,,지상,서울특별시 종로구 자하문로1가길 15-10,2.0,1.0,0.0,,,,,,,,,,89.97,0.0,126.9717295,37.577391,13
11470-21330,,지상,서울특별시 양천구 신정중앙로 29,2.0,0.0,0.0,,,,,,,,,,99.83,3.0,126.855102,37.5277057,13
11110-20929,,지상,서울특별시 종로구 율곡로17길 7-34,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0042966,37.5763251,13
11560-1180,,지상,서울특별시 영등포구 경인로71길 50,,,,5.0,0.0,1.0,,,,,,,53.78,22.0,126.8880056,37.5146236,13
11740-20295,,지상,서울특별시 강동구 상일로 39,5.0,1.0,0.0,,,,,,,,,,0.0,3.0,127.172641,37.5505869,13
11740-19478,,지상,서울특별시 강동구 강동대로55길 77,5.0,1.0,0.0,,,,,,,,,,220.74,5.0,127.1338241,37.5257576,13
11740-13234,,지상,서울특별시 강동구 양재대로121길 7,5.0,1.0,1.0,,,,,,,,,,288.27,8.0,127.1410942,37.5422991,13
11740-11932,,지상,서울특별시 강동구 상암로 20,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.1258068,37.550647,13
11380-100278915,11380-100278914,지상,서울특별시 은평구 통일로 1080,2.0,1.0,3.0,,,,,,,,,,61.3,0.0,126.917062,37.6395615,13
11710-100536892,,지상,서울특별시 송파구 위례중앙로 8,2.0,0.0,0.0,,,,,,,,,,39.47,2.0,127.1279816,37.4751867,13
11200-23809,,지상,서울특별시 성동구 송정12가길 38,1.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0670241,37.5512817,13
11200-24018,,지상,서울특별시 성동구 광나루로 233,4.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0560021,37.5497523,13
11290-25833,,지상,서울특별시 성북구 종암로27길 25,3.0,0.0,0.0,,,,,,,,,,267.16,0.0,127.0311863,37.6025656,13
11710-295,,지상,서울특별시 송파구 백제고분로15길 9,,,,1.0,0.0,0.0,,,,,,,0.0,0.0,127.084338,37.5061,13
11650-4091,,지상,서울특별시 서초구 효령로31길 38,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9960055,37.4828667,13
11380-7075,,지상,서울특별시 은평구 불광로 119,5.0,0.0,1.0,,,,,,,,,,279.22,5.0,126.9329565,37.6175007,13
11380-100318155,,지상,서울특별시 은평구 서오릉로 256,4.0,0.0,1.0,,,,,,,,,,119.93,6.0,126.9070131,37.6171882,13
11380-32773,,지상,서울특별시 은평구 은평로3길 13,5.0,0.0,1.0,,,,,,,,,,262.12,0.0,126.9148774,37.6001769,13
11380-423,,지상,서울특별시 은평구 은평로3길 25,,,,4.0,0.0,0.0,,,,,,,76.42,0.0,126.9141892,37.6021298,13
11110-10945,,지상,서울특별시 종로구 평창문화로 139,5.0,1.0,1.0,,,,,,,,,,221.81,13.0,126.9751428,37.6100162,13
11110-17649,,지상,서울특별시 종로구 종로44길 83,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0149733,37.5708345,13
11110-1618,11110-618,지상,서울특별시 종로구 대학로 52,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0023355,37.5757597,13
11470-10758,,지상,서울특별시 양천구 목동중앙북로 25,4.0,1.0,0.0,,,,,,,,,,193.27,3.0,126.8663573,37.5483522,13
11110-20841,,지상,서울특별시 종로구 삼청로7길 27,2.0,1.0,0.0,,,,,,,,,,89.4641,1.0,126.9802136,37.5837872,13
11380-100290474,,지상,서울특별시 은평구 연서로 311,5.0,0.0,1.0,,,,,,,,,,199.8,4.0,126.9273611,37.6232652,13
11380-1599,,지상,서울특별시 은평구 수색로 342-1,4.0,1.0,0.0,,,,,,,,,,212.66,7.0,126.8880787,37.5866779,13
11560-100192654,,지상,서울특별시 영등포구 국회대로 597,,,,7.0,299.0,0.0,,,,,,,246.46,616.0,126.9017654,37.5269583,13
11710-100236462,11710-100236457,지상,서울특별시 송파구 송파대로28길 43,,,,,,,송파KCC웰츠타워,315,지상,10.0,4.0,1.8571,0.0,0.0,127.1221419,37.4957359,13
11440-28931,,지상,서울특별시 마포구 성미산로17길 85,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9172087,37.5652178,13
11410-11289,,지상,서울특별시 서대문구 이화여대7길 14,4.0,1.0,0.0,,,,,,,,,,187.14,1.0,126.9449564,37.5588249,13
11410-11025,,지상,서울특별시 서대문구 신촌로 195,4.0,0.0,0.0,,,,,,,,,,141.21,2.0,126.9475331,37.5571176,13
