관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11200-17630,,지상,서울특별시 성동구 뚝섬로3가길 5,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11200-100203914,,지상,서울특별시 성동구 왕십리로10길 19-2,2.0,1.0,0.0,,,,,,,,,,99.66,0.0
11200-100180868,,지상,서울특별시 성동구 행당로17길 1-57,5.0,1.0,1.0,,,,,,,,,,189.02,8.0
11200-9561,,지상,서울특별시 성동구 왕십리로21길 3,1.0,0.0,0.0,,,,,,,,,,56.26,0.0
11170-99,,지상,서울특별시 용산구 녹사평대로 254,,,,17.0,407.0,0.0,,,,,,,106.7,0.0
11170-104,,지상,서울특별시 용산구 장문로 141,,,,6.0,283.0,0.0,,,,,,,222.85,478.0
11170-26750,,지상,서울특별시 용산구 보광로 63,6.0,1.0,1.0,,,,,,,,,,287.36,8.0
11170-1614,,지상,서울특별시 용산구 이태원로 165-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11170-1000000000000000898301,,지상,서울특별시 용산구 독서당로 124,4.0,3.0,1.0,,,,,,,,,,186.8672,18.0
11500-6274,,지상,서울특별시 강서구 양천로30길 56,2.0,1.0,0.0,,,,,,,,,,99.54,0.0
11110-6166,,지상,서울특별시 종로구 필운대로 6-1,5.0,1.0,1.0,,,,,,,,,,196.84,5.0
11110-1000000000000000882253,,지상,서울특별시 종로구 진흥로 442-2,2.0,0.0,0.0,,,,,,,,,,115.749,2.0
11110-5947,,지상,서울특별시 종로구 대학로1길 34-11,5.0,1.0,0.0,,,,,,,,,,236.11,2.0
11680-14214,,지상,서울특별시 강남구 봉은사로109길 39,2.0,1.0,0.0,,,,,,,,,,94.79,2.0
11500-100316939,,지상,서울특별시 강서구 양천로30길 67,6.0,0.0,1.0,,,,,,,,,,213.91,8.0
11500-100210708,,지상,서울특별시 강서구 개화동로29길 17-4,7.0,0.0,1.0,,,,,,,,,,342.66,1.0
11500-100198055,11500-100197873,지상,서울특별시 강서구 양천로 583,,,,,,,우림 블루나인 비즈니스센터,B-310호,지상,20.0,1.0,3.97,0.0,0.0
11740-6308,,지상,서울특별시 강동구 천호대로176길 8,7.0,1.0,1.0,,,,,,,,,,297.17,3.0
11740-14486,,지상,서울특별시 강동구 천호대로177길 16,5.0,1.0,0.0,,,,,,,,,,198.79,6.0
11740-12348,,지상,서울특별시 강동구 천호대로177길 16,5.0,1.0,0.0,,,,,,,,,,198.79,7.0
11740-100262906,11740-100262840,지상,서울특별시 강동구 고덕로80길 123,3.0,1.0,1.0,,,,,,,,,,0.0,0.0
11740-100262840,,지상,서울특별시 강동구 고덕로80길 99,,,,21.0,1745.0,0.0,,,,,,,249.97,2558.0
11710-5009,,지상,서울특별시 송파구 송파대로 410,4.0,2.0,0.0,,,,,,,,,,237.82,9.0
11710-1901,11710-100229082,지상,서울특별시 송파구 올림픽로 25,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-17087,,지상,서울특별시 송파구 동남로26길 9,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-1073,11710-100229082,지상,서울특별시 송파구 올림픽로 25,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-100447646,,지상,서울특별시 송파구 삼전로9길 5-2,5.0,1.0,1.0,,,,,,,,,,198.74,8.0
11680-6736,,지상,서울특별시 강남구 삼성로96길 27,5.0,1.0,0.0,,,,,,,,,,221.91,6.0
11680-8018,,지상,서울특별시 강남구 학동로38길 14,2.0,1.0,0.0,,,,,,,,,,98.08,0.0
11680-7205,,지상,서울특별시 강남구 개포로17길 30,5.0,1.0,0.0,,,,,,,,,,194.99,5.0
11710-1000000000000001011650,11710-1000000000000001009902,지상,서울특별시 송파구 거마로 56,1.0,1.0,2.0,,,,,,,,,,2.56,2448.0
11680-9390,,지상,서울특별시 강남구 압구정로2길 58,7.0,2.0,1.0,,,,,,,,,,286.62,13.0
11680-35820,11680-2169,지상,서울특별시 강남구 언주로30길 13,,,,,,,대림아크로텔,703호,지상,10.0,1.0,0.59,0.0,0.0
